Time,Open,High,Low,Close
03/01/2000 00:00,0.6563,0.6607,0.6563,0.6586
03/01/2000 04:00,0.6587,0.6587,0.6567,0.6575
03/01/2000 08:00,0.6574,0.658,0.6557,0.6572
03/01/2000 12:00,0.6573,0.6589,0.6564,0.658
03/01/2000 16:00,0.6583,0.6609,0.6577,0.6594
03/01/2000 20:00,0.6593,0.6615,0.6573,0.6573
04/01/2000 00:00,0.6574,0.6586,0.6562,0.6569
04/01/2000 04:00,0.6572,0.6594,0.6569,0.6585
04/01/2000 08:00,0.6584,0.659,0.6572,0.6582
04/01/2000 12:00,0.6585,0.659,0.6565,0.6575
04/01/2000 16:00,0.6574,0.6584,0.6555,0.6567
04/01/2000 20:00,0.6568,0.6576,0.6541,0.6549
05/01/2000 00:00,0.6549,0.6569,0.6543,0.6549
05/01/2000 04:00,0.6551,0.656,0.6535,0.6543
05/01/2000 08:00,0.654,0.659,0.6537,0.6578
05/01/2000 12:00,0.658,0.66,0.6567,0.6581
05/01/2000 16:00,0.6582,0.6586,0.655,0.6567
05/01/2000 20:00,0.6569,0.6591,0.6567,0.6575
06/01/2000 00:00,0.6575,0.6585,0.6567,0.6579
06/01/2000 04:00,0.6577,0.6589,0.6574,0.6583
06/01/2000 08:00,0.6585,0.6588,0.6548,0.6565
06/01/2000 12:00,0.6561,0.6576,0.6549,0.6556
06/01/2000 16:00,0.656,0.6565,0.6529,0.6548
06/01/2000 20:00,0.6547,0.6553,0.6525,0.6533
07/01/2000 00:00,0.6536,0.6544,0.6527,0.6544
07/01/2000 04:00,0.6544,0.6547,0.6522,0.6528
07/01/2000 08:00,0.6528,0.6555,0.6522,0.6543
07/01/2000 12:00,0.6542,0.6545,0.6523,0.6537
07/01/2000 16:00,0.6538,0.6562,0.6532,0.6556
07/01/2000 20:00,0.6553,0.6559,0.6545,0.6551
10/01/2000 00:00,0.6547,0.6563,0.6547,0.6553
10/01/2000 04:00,0.6554,0.6559,0.655,0.6554
10/01/2000 08:00,0.6555,0.6573,0.6537,0.6562
10/01/2000 12:00,0.6566,0.6571,0.6554,0.6562
10/01/2000 16:00,0.6559,0.6574,0.6555,0.6557
10/01/2000 20:00,0.6561,0.6571,0.6554,0.656
11/01/2000 00:00,0.6562,0.6573,0.655,0.6553
11/01/2000 04:00,0.6554,0.6561,0.6551,0.6552
