Time,Open,High,Low,Close
02/01/2024,0.68069,0.68388,0.67563,0.67598
03/01/2024,0.67609,0.67703,0.6702,0.67306
04/01/2024,0.67277,0.67597,0.66964,0.67059
05/01/2024,0.67066,0.67479,0.66404,0.67131
08/01/2024,0.67141,0.67344,0.66773,0.67193
09/01/2024,0.67188,0.67343,0.66769,0.66861
10/01/2024,0.6679,0.67128,0.66782,0.66987
11/01/2024,0.66973,0.67254,0.6647,0.66865
12/01/2024,0.66756,0.67287,0.66704,0.6684
15/01/2024,0.66779,0.67044,0.66501,0.66599
16/01/2024,0.66594,0.66615,0.6576,0.65839
17/01/2024,0.65839,0.65943,0.65248,0.65519
18/01/2024,0.65519,0.65745,0.65251,0.65726
19/01/2024,0.6569,0.66015,0.65552,0.65946
22/01/2024,0.65831,0.66135,0.65662,0.65695
23/01/2024,0.65698,0.66123,0.65515,0.65789
24/01/2024,0.65792,0.6621,0.65657,0.65757
25/01/2024,0.65753,0.66097,0.65659,0.65839
26/01/2024,0.65823,0.66095,0.65745,0.65748
29/01/2024,0.6573,0.66156,0.65695,0.66103
30/01/2024,0.66097,0.66242,0.65748,0.66018
31/01/2024,0.6602,0.66224,0.65513,0.65675
01/02/2024,0.65654,0.65787,0.6508,0.65717
02/02/2024,0.65705,0.66101,0.65021,0.65102
05/02/2024,0.65103,0.652,0.64686,0.64825
06/02/2024,0.6481,0.65248,0.64777,0.65225
07/02/2024,0.65225,0.654,0.65155,0.65195
08/02/2024,0.65196,0.65317,0.64803,0.6491
09/02/2024,0.64909,0.65342,0.64871,0.65214
12/02/2024,0.65165,0.65428,0.65044,0.6529
13/02/2024,0.65304,0.65383,0.64425,0.64533
14/02/2024,0.64509,0.64953,0.6446,0.64875
15/02/2024,0.64882,0.65293,0.64772,0.65242
16/02/2024,0.6524,0.65445,0.64963,0.65278
19/02/2024,0.65244,0.65516,0.65244,0.65392
20/02/2024,0.65394,0.65789,0.6521,0.65483
